timeJ,axJ,ayJ,azJ,aTJ
0.936,-0.4645,0.3968,-0.6121,0.865
0.942,-0.3893,0.1495,-0.6827,0.8
0.946,-0.5409,0.0912,-0.5931,0.808
0.951,-0.714,0.1402,-0.4152,0.838
0.957,-0.7293,0.2341,-0.3569,0.845
0.961,-0.4847,0.2721,-0.3343,0.649
0.965,-0.4716,0.3351,-0.4572,0.737
0.97,-0.6966,0.3659,-0.3455,0.859
0.977,-0.5959,0.3715,-0.2864,0.758
0.981,-0.6487,0.319,-0.0744,0.727
0.985,-0.6768,0.2322,0.0344,0.716
1.001,-0.7524,0.1137,-0.1913,0.785
1.002,-0.8192,0.1385,-0.603,1.027
1.003,-0.7558,0.2261,-0.8375,1.151
1.023,-0.7742,0.3196,-0.9501,1.267
1.024,-0.8439,0.3313,-1.1133,1.436
1.024,-0.8449,0.2544,-1.2839,1.558
1.025,-0.8122,0.2228,-1.4405,1.669
1.025,-0.7446,0.2483,-1.5424,1.731
1.029,-0.6533,0.2708,-1.6276,1.775
1.033,-0.6568,0.2468,-1.7726,1.906
1.038,-0.6828,0.2402,-1.8217,1.96
1.043,-0.6496,0.272,-1.9207,2.046
1.048,-0.6715,0.265,-1.9116,2.043
1.053,-0.6639,0.2814,-1.9069,2.039
1.058,-0.612,0.2922,-1.8466,1.967
1.064,-0.5582,0.3066,-1.7954,1.905
1.067,-0.5883,0.3055,-1.7603,1.881
1.075,-0.6279,0.2794,-1.6194,1.759
1.082,-0.5203,-0.0154,-1.4876,1.576
1.083,0.3221,-1.7021,-0.5174,1.808
1.088,0.0489,-1.5982,-0.6966,1.744
1.092,-0.3473,-1.1007,-1.0034,1.529
1.111,-0.6875,-0.4903,-1.2029,1.47
1.112,-0.8402,-0.0194,-1.0607,1.353
1.112,-0.8929,0.2006,-0.8992,1.283
1.113,-0.8541,0.1618,-0.8516,1.217
1.116,-0.7489,-0.0792,-0.9318,1.198
1.121,-0.5708,-0.3724,-1.0296,1.235
1.126,-0.4075,-0.5389,-1.169,1.35
1.13,-0.1031,-0.6387,-1.3671,1.512
1.135,0.2482,-0.7127,-1.5471,1.721
1.14,0.7634,-0.9188,-1.6234,2.016
1.145,1.959,-2.1712,-1.1305,3.135
1.149,2.1733,-2.9264,-1.1642,3.827
1.154,1.9896,-2.7115,-1.4728,3.671
1.159,1.8246,-2.452,-1.5804,3.441
1.163,1.7299,-2.232,-1.4152,3.159
1.168,1.5603,-2.0759,-1.3783,2.94
1.178,1.3227,-1.9531,-1.5001,2.795
1.179,1.1026,-1.8948,-1.6537,2.746
1.183,0.994,-2.0063,-1.7985,2.872
1.188,0.9191,-1.96,-1.887,2.872
1.194,0.9112,-1.8087,-1.845,2.74
1.198,0.7631,-1.5763,-1.8857,2.574
1.203,0.6744,-1.3414,-1.8755,2.402
1.209,0.6847,-1.1251,-1.7549,2.194
1.213,0.7545,-1.0585,-1.6651,2.112
1.218,0.7762,-1.1003,-1.637,2.12
1.222,0.8213,-1.1948,-1.5418,2.116
1.228,0.7843,-1.2932,-1.4205,2.075
1.232,0.6719,-1.3256,-1.2688,1.954
1.236,0.6091,-1.3706,-1.1176,1.87
1.243,0.6387,-1.425,-1.0054,1.857
1.247,0.7133,-1.5241,-0.8845,1.901
1.251,0.7688,-1.6604,-0.7524,1.978
1.258,0.8338,-1.7834,-0.6261,2.066
1.261,0.824,-1.8953,-0.5629,2.142
1.265,0.861,-1.9532,-0.7063,2.248
1.271,0.7315,-1.9902,-0.8196,2.273
1.277,0.5947,-1.8463,-0.8429,2.115
1.282,0.3767,-1.6798,-0.7976,1.897
1.286,0.1189,-1.4938,-0.6669,1.64
1.299,0.0121,-1.313,-0.5605,1.428
1.3,-0.1295,-1.0973,-0.3158,1.149
1.316,-0.191,-0.8428,-0.1331,0.874
1.316,-0.3758,-0.708,0.1763,0.821
1.317,-0.4454,-0.5863,0.4907,0.885
1.318,-0.4305,-0.497,0.7432,0.992
1.321,-0.3791,-0.4336,0.9056,1.073
1.333,-0.2718,-0.401,1.0425,1.15
1.334,-0.1051,-0.4087,1.1186,1.196
1.337,0.07,-0.4595,1.1513,1.242
1.339,0.1243,-0.51,1.1462,1.261
1.345,-0.5321,-0.262,1.5813,1.689
1.349,-2.5877,0.6305,3.0973,4.085
1.353,-2.218,1.0899,3.7182,4.465
1.36,-0.8829,0.4734,2.3711,2.574
1.363,-2.1911,0.6449,2.0158,3.046
1.368,-3.1376,1.4417,2.3239,4.162
1.383,-3.0357,1.977,2.0794,4.177
1.385,-2.514,2.0432,1.1723,3.445
1.386,-2.4106,2.2907,0.4864,3.361
1.389,-2.6061,2.691,0.3676,3.764
1.405,-2.5471,3.0701,0.3243,4.002
1.406,-2.4722,3.1886,0.3269,4.048
1.41,-2.3379,3.086,0.4674,3.9
1.411,-2.0141,2.9349,0.6854,3.625
1.416,-1.4178,2.5009,0.8708,3.004
1.418,-0.6232,1.876,1.0843,2.255
1.421,0.2074,1.2055,1.3704,1.837
1.427,0.8639,0.5915,1.6968,1.994
1.431,1.2294,-0.0627,2.0073,2.355
1.435,1.2735,-0.7373,2.4088,2.823
1.442,1.1171,-1.3589,2.9552,3.439
1.445,0.9516,-1.4978,3.5261,3.947
1.45,0.8234,-1.3137,3.7271,4.037
1.454,0.6844,-1.4137,3.3178,3.671
1.461,0.1917,-1.3484,3.1529,3.434
1.465,-0.6237,-0.9887,4.1229,4.285
1.469,-0.8864,0.1492,6.5934,6.654
1.481,-0.9644,0.3606,6.8559,6.933
1.482,-0.9889,0.2086,5.9791,6.064
1.487,-1.4749,-0.0146,5.0021,5.215
1.49,-1.4816,-0.2686,4.9721,5.195
1.504,-1.1447,-0.6182,5.3958,5.55
1.505,-0.7155,-0.8986,5.5577,5.675
1.509,-0.1825,-1.0492,5.1894,5.298
1.511,-0.9136,-1.5588,4.7248,5.059
1.517,-0.9017,-1.9626,4.041,4.582
1.52,0.7591,-1.5247,3.3173,3.729
1.523,1.1789,-1.2836,2.598,3.128
1.529,1.2458,-1.1298,1.6199,2.335
1.532,0.927,-1.116,0.7357,1.627
1.537,0.736,-1.0577,0.0148,1.289
1.543,0.7864,-0.7648,-0.5469,1.226
1.547,0.7188,-0.3884,-0.7667,1.12
1.552,0.5827,0.0054,-0.7246,0.93
1.561,0.4457,0.3072,-0.563,0.781
