timeJ,axJ,ayJ,azJ,aTJ
60.121,-1.3179,0.0612,-0.078,1.322
60.121,-1.4018,-0.1189,0.1903,1.42
60.121,-1.6334,-0.1767,0.3389,1.677
60.122,-1.596,-0.2011,0.4351,1.666
60.122,-1.537,-0.1774,0.3834,1.594
60.122,-1.5962,-0.2779,0.3631,1.66
60.122,-1.5836,-0.127,0.3714,1.632
60.122,-1.1922,0.2417,0.482,1.308
60.122,1.3733,1.1219,1.3895,2.253
60.122,1.3837,0.1422,1.4183,1.987
60.122,0.8544,-0.2817,1.2146,1.512
60.122,-0.0426,-0.5163,0.6364,0.821
60.123,-0.5506,-0.8587,0.0313,1.021
60.123,-0.8932,-0.7473,-0.6702,1.344
60.123,-0.2688,-0.6753,-0.8152,1.092
60.123,1.0158,-0.0613,-1.3735,1.709
60.123,1.4471,-0.0985,-1.5187,2.1
60.123,2.8498,-0.6255,-1.3903,3.232
60.123,2.1845,-0.5012,-1.7163,2.823
60.124,3.6838,0.0439,-0.7205,3.754
60.124,1.6753,0.3785,-0.5383,1.8
60.124,1.2126,0.2994,-0.2041,1.266
60.124,1.1566,0.0178,0.2813,1.19
60.124,-0.1327,0.0383,0.284,0.316
60.124,-0.2815,0.2379,0.692,0.784
60.124,-1.0339,0.2932,0.5729,1.218
60.124,-1.6067,0.293,0.2666,1.655
60.124,-1.0435,0.3282,0.2246,1.117
60.125,0.0424,0.2793,0.2141,0.355
60.125,0.9384,0.1708,0.0981,0.959
60.125,1.2375,-0.0331,-0.1022,1.242
60.125,1.5022,-0.1457,-0.184,1.52
60.125,1.7306,-0.2698,-0.1951,1.762
60.125,1.4783,-0.3194,-0.1996,1.526
60.125,0.9915,-0.3522,-0.1276,1.06
60.125,0.4539,-0.3705,0.0046,0.586
60.125,0.037,-0.3459,0.1877,0.395
60.126,-0.2092,-0.3333,0.3522,0.528
60.126,-0.4002,-0.2681,0.4431,0.654
60.126,-0.5648,-0.184,0.4936,0.772
60.126,-0.6269,-0.112,0.5012,0.81
60.126,-0.5748,0.01,0.4873,0.754
60.126,-0.4873,0.0651,0.3607,0.61
60.126,-0.4335,0.1153,0.1668,0.479
60.126,-0.4059,0.1583,-0.0325,0.437
60.126,-0.304,0.1513,-0.1272,0.363
60.126,-0.1108,0.1443,-0.0791,0.198
60.127,0.0784,0.1447,0.0473,0.171
60.127,0.2396,0.114,0.2235,0.347
60.127,0.4017,0.1073,0.3759,0.561
60.127,0.5172,0.0553,0.4542,0.691
60.127,0.6078,0.013,0.3894,0.722
60.127,0.5682,-0.0531,0.3203,0.654
60.128,0.4248,-0.1071,0.2518,0.505
60.128,0.2876,-0.1515,0.2028,0.383
60.128,0.046,-0.1647,0.2044,0.267
60.128,-0.1522,-0.166,0.2254,0.319
60.128,-0.3217,-0.1529,0.2584,0.44
60.128,-0.4606,-0.1352,0.2796,0.556
60.128,-0.4995,-0.1247,0.2915,0.592
60.128,-0.5008,-0.1047,0.2629,0.575
60.128,-0.4503,-0.0991,0.2128,0.508
60.128,-0.3527,-0.0744,0.1675,0.397
60.129,-0.4857,-0.0641,0.165,0.517
60.129,-0.4404,-0.0611,0.1526,0.47
60.129,-0.1807,-0.0581,0.1709,0.255
60.129,-0.0697,-0.0479,0.2225,0.238
60.129,-0.0329,-0.064,0.2669,0.276
60.129,-0.075,-0.0419,0.2998,0.312
60.129,-0.146,-0.0342,0.3429,0.374
60.129,-0.1622,-0.0219,0.4202,0.451
60.129,-0.1908,0.0094,0.46,0.498
60.129,-0.1958,0.0406,0.5193,0.556
60.13,-0.1989,0.0573,0.5384,0.577
60.13,-0.1881,0.1026,0.5387,0.58
60.13,-0.2544,0.1119,0.4605,0.538
60.13,-0.3905,0.0853,0.3516,0.532
60.13,-0.4747,0.0634,0.2862,0.558
60.13,-0.6029,0.0271,0.1951,0.634
60.13,-0.672,-0.0069,0.1185,0.682
60.13,-0.5054,-0.0266,0.1496,0.528
60.13,-0.1341,-0.0248,0.2307,0.268
60.13,0.2463,-0.03,0.2706,0.367
60.131,-0.2261,-0.052,0.1889,0.299
60.131,-0.9919,-0.1004,0.0894,1.001
60.131,-1.0572,-0.0939,0.0654,1.063
60.131,-0.5379,-0.0684,0.1015,0.552
60.131,0.0235,-0.0548,0.2107,0.219
60.131,0.1215,-0.0937,0.2784,0.318
60.131,-0.0141,-0.2112,0.3725,0.428
60.131,-0.1722,-0.1538,0.3406,0.411
60.131,-0.1762,-0.0845,0.2999,0.358
60.132,-0.0171,-0.1392,0.3009,0.332
60.132,0.1843,-0.301,0.2911,0.457
60.132,0.0301,-0.2207,0.1813,0.287
60.132,-0.1534,-0.1426,0.105,0.234
60.132,-0.2217,-0.0619,0.0833,0.245
60.132,-0.3193,-0.0144,0.0565,0.325
60.132,-0.4302,0.0285,0.0817,0.439
60.132,-0.3494,0.0309,0.1758,0.392
60.132,0.0204,0.0287,0.3405,0.342
60.132,0.5713,0.0649,0.5584,0.801
60.133,0.9709,0.0942,0.6623,1.179
60.133,1.3599,0.1978,0.5974,1.498
60.133,1.5879,0.2224,0.4598,1.668
60.133,1.4586,0.2304,0.219,1.493
60.133,1.1462,0.1618,0.0699,1.16
60.133,0.7179,0.0739,-0.0397,0.723
60.133,0.2767,-0.0142,-0.0332,0.279
60.133,-0.0674,-0.0234,0.0103,0.072
60.133,-0.2806,-0.0806,0.1572,0.332
60.133,-0.4515,-0.0852,0.2728,0.534
60.134,2.5216,-0.0476,1.463,2.916
60.134,3.0156,-0.3238,1.9497,3.606
60.134,1.5899,-0.3557,0.2781,1.653
60.134,-5.0348,0.0852,-3.5963,6.188
60.134,-2.6686,0.545,-2.2194,3.513
60.134,1.4209,0.2557,1.2782,1.928
60.134,-0.0366,0.0002,1.7822,1.783
60.135,-1.7642,-0.1475,1.3361,2.218
60.135,-1.5458,0.0323,1.1082,1.902
60.135,-1.3672,0.209,0.9873,1.699
60.135,-1.5125,0.225,0.5094,1.612
60.135,-1.4585,0.1955,0.0338,1.472
60.135,-1.3931,0.1324,-0.1084,1.404
60.135,-1.5426,0.0259,-0.2094,1.557
60.136,8.8113,0.0185,3.714,9.562
60.136,4.832,-0.5083,2.4596,5.446
60.136,5.8436,-0.4472,0.2926,5.868
60.136,-12.031,-0.4899,-8.3156,14.633
60.136,-2.491,0.681,-4.1061,4.851
60.137,4.0579,0.2141,4.3129,5.926
60.137,-0.6146,-0.3557,4.0907,4.152
60.137,10.6793,-0.1569,7.0023,12.771
60.137,3.9864,-0.4656,4.2409,5.839
60.137,5.9325,0.2638,0.9374,6.012
60.138,3.1483,0.3269,-2.2279,3.871
60.138,1.8432,0.5043,-3.8058,4.259
60.138,-13.95,-0.2117,-9.1436,16.681
60.138,-4.6856,0.4714,-4.1622,6.285
60.138,1.1471,-0.3421,3.2449,3.459
60.138,-3.8104,-0.912,5.175,6.491
60.139,-5.6196,-0.7467,4.3977,7.175
60.139,-3.4136,-0.126,3.259,4.721
60.139,-3.0279,0.259,2.2637,3.789
60.139,-3.5929,0.1747,0.5221,3.635
60.139,-2.4601,0.126,-0.3319,2.486
60.14,-0.9041,0.1208,-0.5687,1.075
60.14,0.3177,0.1355,-0.6587,0.744
60.14,1.2993,0.1413,-0.2816,1.337
60.14,1.9958,0.0573,0.0669,1.998
60.14,2.3836,-0.0353,0.1351,2.388
60.14,2.0809,-0.0341,0.1619,2.087
60.14,1.3057,-0.0422,0.1474,1.315
60.141,0.8774,-0.06,0.154,0.893
60.141,0.7305,-0.0707,0.2081,0.763
60.141,0.6209,-0.084,0.2836,0.688
60.141,0.5182,-0.0973,0.2919,0.603
60.141,0.4677,-0.0676,0.3455,0.585
60.141,0.5432,-0.0906,0.4484,0.71
60.141,0.6322,-0.1089,0.5098,0.819
60.141,0.7061,-0.1726,0.4412,0.85
60.141,0.641,-0.2506,0.3101,0.755
60.142,0.5019,-0.3046,0.105,0.596
60.142,0.3773,-0.3083,-0.0426,0.489
60.142,0.2671,-0.2929,-0.0731,0.403
60.142,0.1929,-0.256,-0.0511,0.325
60.142,0.0757,-0.1833,-0.0365,0.202
60.142,-0.0652,-0.1058,-0.0244,0.127
60.142,-0.3107,-0.0261,-0.0766,0.321
60.142,-0.6274,0.0895,-0.1498,0.651
60.142,-0.8909,0.1929,-0.1653,0.926
60.142,-0.9987,0.2891,-0.128,1.048
60.143,-0.9491,0.342,0.038,1.01
60.143,-0.8231,0.3304,0.2206,0.914
60.143,-0.7261,0.3259,0.2784,0.843
60.143,-0.5839,0.3335,0.3001,0.736
60.143,-0.4679,0.2932,0.2835,0.621
60.143,-0.3116,0.2315,0.2811,0.479
60.143,-0.1872,0.1602,0.2906,0.381
60.143,-0.0975,0.0959,0.1423,0.197
60.144,-0.1026,0.0266,-0.0698,0.127
60.144,-0.1637,-0.0309,-0.3642,0.401
60.144,-0.2494,-0.1053,-0.5781,0.638
60.144,-0.2496,-0.1989,-0.5322,0.621
60.144,-0.1713,-0.2471,-0.3232,0.441
60.144,-0.0646,-0.2714,-0.0597,0.285
60.144,-0.0441,-0.2932,0.1455,0.33
60.144,-0.012,-0.2696,0.2755,0.386
60.144,-0.035,-0.2579,0.2846,0.386
60.145,-0.008,-0.2748,0.3978,0.484
60.145,0.1362,-0.2869,0.4764,0.573
60.145,0.293,-0.251,0.4971,0.629
60.145,0.3644,-0.191,0.4695,0.624
60.145,0.4271,-0.0855,0.3534,0.561
60.145,0.4306,0.0343,0.2157,0.483
60.145,0.4247,0.1469,0.1565,0.476
60.145,0.4736,0.233,0.1562,0.55
60.145,0.4552,0.2402,0.1121,0.527
60.145,0.1301,0.166,0.0697,0.222
60.146,0.3434,0.1231,0.0126,0.365
60.146,0.4758,0.0277,-0.0011,0.477
60.146,0.4945,-0.0698,-0.0117,0.5
60.146,0.4712,-0.1383,0.0048,0.491
60.146,0.3335,-0.1876,0.0054,0.383
60.146,0.2773,-0.2201,0.0088,0.354
60.146,0.2688,-0.1905,0.0096,0.33
60.146,0.2551,-0.1036,0.0074,0.275
60.146,0.265,-0.0336,0.0021,0.267
60.147,0.3392,0.0627,-0.0137,0.345
60.147,0.3127,0.1302,-0.1018,0.354
60.147,0.3724,0.2239,-0.2311,0.492
60.147,0.4993,0.2459,-0.2341,0.604
60.147,0.5527,0.2992,-0.271,0.684
60.147,0.5683,0.3286,-0.3131,0.727
60.147,0.299,0.3053,-0.3486,0.551
60.147,0.4767,0.3132,-0.2773,0.634
60.147,0.7694,0.2973,-0.1037,0.831
60.148,0.9553,0.217,0.0144,0.98
60.148,1.0348,0.0942,0.1397,1.048
60.148,1.0608,0.0507,0.1864,1.078
60.148,1.0857,0.0409,0.2739,1.12
60.148,0.9555,-0.0167,0.3141,1.006
60.148,0.7702,-0.0766,0.1903,0.797
60.148,0.5702,-0.1534,-0.0786,0.596
60.148,0.5396,-0.2589,-0.1985,0.631
60.149,0.4642,-0.3577,-0.2451,0.635
60.149,7.8553,0.1272,4.8908,9.254
60.149,7.6443,-0.615,5.5865,9.488
60.149,7.343,-1.3031,4.4855,8.703
60.149,6.4859,-1.6661,2.1235,7.025
60.149,5.8916,-1.8141,0.2679,6.17
60.15,4.4994,-1.9261,-2.1982,5.365
60.15,3.4016,-2.0195,-3.5514,5.316
60.15,1.7484,-1.4262,-4.107,4.686
60.15,-0.4306,0.5339,-4.0265,4.085
60.15,-1.7788,1.3222,-2.1658,3.099
60.15,-3.5664,0.5338,-1.2522,3.817
60.151,-5.7166,0.076,-1.2735,5.857
60.151,-8.5812,0.0941,-2.0901,8.833
60.151,-9.3209,0.0987,-0.0208,9.321
60.151,-11.6803,0.7573,0.1455,11.706
60.151,-13.2477,0.9193,-1.3078,13.344
60.152,-11.2569,1.0574,1.9596,11.475
60.152,-8.6049,1.1361,4.3662,9.716
60.152,-6.9801,1.1156,3.6318,7.947
60.152,-4.989,1.3117,2.1165,5.576
60.153,2.0318,1.9926,4.3107,5.165
60.153,7.3202,1.2444,6.9448,10.167
60.153,5.0037,0.4236,-3.2385,5.975
60.153,2.6117,0.4896,-8.4464,8.854
60.154,4.7297,0.7949,-3.2161,5.775
60.154,3.5382,-0.466,0.2699,3.579
60.154,0.9983,-1.5959,1.2427,2.256
60.154,2.3011,-1.235,2.4633,3.59
60.154,9.1507,-1.5795,10.466,13.992
60.154,5.6783,-1.316,-0.7688,5.879
60.155,4.4369,-0.8406,-3.0534,5.451
60.155,4.5428,0.6725,-1.81,4.936
60.155,1.2244,-0.2741,-1.2715,1.786
60.155,1.4614,0.3635,1.4813,2.112
60.155,-0.1852,-1.2723,2.2499,2.591
60.155,-0.7171,0.1045,-0.5127,0.888
60.155,1.0387,-1.151,4.4562,4.718
60.156,2.5041,-0.1754,1.6432,3
60.156,2.2688,-0.2284,1.1094,2.536
60.156,-3.1731,0.189,-5.3775,6.247
60.156,-0.1973,1.3599,-0.4631,1.45
60.156,-1.9667,0.5431,0.3715,2.074
60.156,2.1975,0.0051,5.4118,5.841
60.157,-0.9551,-0.2882,0.9809,1.399
60.157,-7.4131,-0.531,-7.4616,10.531
60.157,-5.1718,0.745,-2.111,5.636
60.157,5.1475,0.3582,11.3256,12.446
60.157,-1.6029,-0.1731,-0.7497,1.778
60.158,0.0527,-0.0171,-1.32,1.321
60.158,4.3067,0.4709,2.3611,4.934
60.158,5.0385,0.3473,0.7884,5.112
60.158,-2.1268,-0.4458,-7.6905,7.992
60.158,-8.7257,-0.0023,-9.8506,13.159
60.158,-4.339,-0.9763,4.0883,6.041
60.159,-5.3707,-0.4964,4.0068,6.719
60.159,2.0972,-1.0649,8.4176,8.74
60.159,-10.1109,0.9011,-6.9484,12.301
60.159,-4.6358,1.1635,-1.2053,4.929
60.159,-0.9887,0.9689,0.4665,1.461
60.16,13.0885,0.716,10.4019,16.734
60.16,12.6595,0.5082,5.8384,13.95
60.16,9.727,1.2412,-3.231,10.324
60.16,9.6569,1.272,-6.8594,11.913
60.16,1.5625,1.2067,-13.4975,13.641
60.161,-0.6604,-0.2073,-6.1189,6.158
60.161,1.5715,-2.5208,8.6846,9.179
60.161,-7.1329,-1.8699,5.8753,9.428
60.161,-11.2279,-1.7691,4.2281,12.127
60.161,-9.1103,-1.1308,2.7166,9.574
60.162,-6.164,-0.5511,0.0743,6.189
60.162,-2.4797,-0.0063,-1.2647,2.784
60.162,0.4093,0.4288,-2.2765,2.352
60.162,2.0109,0.3636,-2.5568,3.273
60.162,2.1813,0.1262,-1.9268,2.913
60.162,1.3985,-0.021,-0.3214,1.435
60.162,0.6703,-0.043,1.6253,1.759
60.163,-0.0942,0.1142,2.7363,2.74
60.163,-0.617,0.2396,2.7908,2.868
60.163,-0.4883,0.307,2.0131,2.094
60.163,0.0528,0.1541,0.7535,0.771
60.163,0.6408,-0.1083,-0.3704,0.748
60.163,1.0157,-0.37,-0.9251,1.423
60.163,0.9346,-0.2519,-0.8577,1.293
60.164,0.8219,0.0795,-0.3096,0.882
60.164,1.5038,-0.3477,0.293,1.571
60.164,2.0816,-0.6281,0.8827,2.347
60.164,2.7157,-0.6317,1.3367,3.092
60.17,3.9815,-0.6251,1.477,4.292
60.17,2.6629,0.0716,1.0609,2.867
60.17,1.4484,0.663,0.5008,1.67
60.171,0.8286,0.8425,-0.051,1.183
60.171,0.8149,0.7889,-0.4786,1.231
60.171,1.226,0.5891,-0.6969,1.528
60.171,1.7379,0.3056,-0.6812,1.891
60.171,2.2257,0.1564,-0.57,2.303
60.172,2.4588,0.082,-0.2724,2.475
60.172,2.3954,-0.0826,0.1282,2.4
60.172,1.7717,-0.2795,0.3842,1.834
60.172,0.6691,-0.2343,0.5154,0.876
60.172,-0.624,-0.2224,0.4582,0.805
60.172,-1.9944,-0.2706,0.4617,2.065
60.173,-3.2191,-0.4272,0.5204,3.289
60.173,-4.2017,-0.4721,0.5344,4.262
60.173,-4.4955,-0.5728,0.6368,4.576
60.173,-4.6977,-0.5329,0.6267,4.769
60.173,-4.7984,-0.3597,0.3993,4.828
60.174,-4.694,-0.2753,0.2302,4.708
60.174,-4.6426,-0.2008,0.0193,4.647
60.174,-4.3591,-0.1073,-0.1499,4.363
60.174,-4.04,-0.0068,-0.2154,4.046
60.174,-3.6238,0.0672,-0.2016,3.63
60.175,-3.1374,0.0786,-0.252,3.148
60.175,-2.6456,-0.006,-0.3002,2.663
60.175,-2.0214,-0.1145,-0.1598,2.031
60.175,-1.1545,-0.1536,0.1882,1.18
60.175,-0.3414,-0.1522,0.3116,0.487
60.176,0.7946,0.1397,0.0412,0.808
60.176,1.9743,0.7085,-0.2429,2.112
60.176,2.9005,0.0097,0.6092,2.964
60.176,2.2544,-0.9591,1.5759,2.913
60.176,0.858,-1.3655,1.7263,2.362
60.177,-0.5486,-1.2805,1.2679,1.884
60.177,-1.2925,-0.9185,0.636,1.708
60.177,-1.2615,-0.4165,0.2229,1.347
60.177,-0.8251,-0.0425,0.0169,0.826
60.177,-0.0701,0.1823,-0.1061,0.222
60.177,9.2399,2.0961,4.523,10.499
60.178,19.4509,5.7566,5.8516,21.112
60.178,13.5613,6.1155,-1.6315,14.966
60.178,3.0084,3.3094,-8.3308,9.455
60.179,1.3917,-0.1672,-6.3336,6.487
60.179,0.4593,-3.3694,-0.7051,3.473
60.179,-2.6374,-4.3259,1.9036,5.412
60.179,-5.9844,-3.9158,1.919,7.405
60.179,-8.7511,-3.2323,0.5538,9.345
60.18,-9.7853,-2.5218,-0.3304,10.11
60.18,-9.3024,-1.7347,-0.5956,9.482
60.18,-7.8004,-1.0289,-0.6639,7.896
60.18,-5.3128,-0.6327,-0.7552,5.403
60.181,-3.4906,-0.1746,-0.9011,3.609
60.181,3.5616,1.3404,1.3921,4.052
60.181,5.0663,2.9876,1.8337,6.161
60.181,-4.6573,1.5731,-5.3912,7.296
60.182,-2.8731,-0.3119,-4.8494,5.645
60.182,-0.1721,-1.5865,-0.6822,1.736
60.182,-0.2802,-1.2821,0.697,1.486
60.182,-0.7662,0.02,0.554,0.946
60.182,-0.4646,0.6318,0.1416,0.797
60.182,-0.2553,0.7263,-0.3356,0.84
60.183,-0.1429,0.634,-0.2149,0.685
60.183,-0.1945,0.4936,0.3649,0.644
60.183,-0.4481,0.3599,0.7351,0.933
60.183,-0.5497,0.2114,0.5686,0.819
60.183,-0.456,0.1321,0.105,0.486
60.183,-0.315,0.0549,-0.3189,0.452
60.183,-0.1888,0.035,-0.4954,0.531
60.183,-0.1205,0.0149,-0.4731,0.488
60.183,-0.0622,-0.0147,-0.4221,0.427
60.184,0.0288,-0.0038,-0.3189,0.32
60.184,0.222,0.0716,-0.1809,0.295
60.184,0.4695,0.1971,0.044,0.511
60.184,0.7909,0.3156,0.251,0.888
60.184,1.1536,0.4152,0.4044,1.291
60.184,1.4218,0.4291,0.4859,1.563
60.184,1.6371,0.4294,0.5,1.765
60.185,1.6753,0.4138,0.4537,1.784
60.185,1.6034,0.3631,0.1532,1.651
60.185,1.4278,0.3251,-0.0908,1.467
60.185,1.1475,0.3231,-0.0774,1.195
60.185,0.9003,0.3091,0.0597,0.954
60.185,0.6787,0.2829,0.1915,0.76
60.185,0.5162,0.1727,0.3378,0.641
60.185,0.3601,0.0552,0.4607,0.587
60.186,0.2133,-0.0505,0.4672,0.516
60.186,0.0569,-0.142,0.3982,0.427
60.186,-0.0562,-0.2119,0.3446,0.408
60.186,-0.1959,-0.1911,0.3322,0.43
60.186,-0.3095,-0.1323,0.2702,0.432
60.186,-0.2895,-0.1072,0.1968,0.366
60.186,-0.3365,-0.063,0.1168,0.362
60.186,-0.5315,0.0192,-0.0727,0.537
60.186,1.7232,0.4117,1.3172,2.208
60.187,8.0848,-0.4809,6.6019,10.449
60.187,0.1746,0.7294,-2.3623,2.478
60.187,-4.9549,1.2717,-7.2208,8.849
60.187,-1.6775,0.9531,-2.3066,3.007
60.188,-1.8485,-0.2931,0.4596,1.927
60.188,-3.9656,-0.7678,0.5404,4.075
60.188,-3.807,-0.7554,0.7358,3.95
60.188,-2.4935,-0.9693,0.433,2.71
60.188,-2.0723,-0.2982,-0.3256,2.119
60.188,-1.7341,0.217,-1.0357,2.031
60.188,-1.4568,0.3281,-1.2393,1.941
60.189,-1.3173,0.2456,-0.8701,1.598
60.189,-1.2387,0.2919,-0.4698,1.357
60.189,-1.1144,0.2683,-0.3687,1.204
60.189,-0.7185,0.046,-0.3962,0.822
60.189,-0.3219,-0.4243,-0.4485,0.696
60.189,-0.2639,-0.7003,-0.5085,0.905
60.189,-0.3877,-0.6607,-0.5434,0.939
60.189,-0.5385,-0.5402,-0.6468,1
60.19,-0.8854,-0.3913,-1.1654,1.515
60.19,-2.1696,-0.0018,-2.4624,3.282
60.19,-3.8832,0.6749,-4.4502,5.945
60.19,-4.8109,1.2029,-5.2708,7.237
60.19,-4.5303,1.1525,-4.774,6.681
60.191,-3.7891,0.7852,-4.1104,5.645
60.191,-2.8662,0.6652,-3.2077,4.353
60.191,-2.3165,0.9157,-1.8016,3.074
60.191,-1.6858,0.9055,0.0112,1.914
60.191,-1.0816,0.7689,1.6862,2.146
60.191,-0.5842,0.5111,3.132,3.227
60.192,-0.1132,0.2921,4.1838,4.196
60.192,0.3127,0.0139,5.0229,5.033
60.192,0.7111,-0.3257,5.7205,5.774
60.192,1.1324,-0.6562,6.051,6.191
60.192,1.4407,-0.8828,5.8994,6.137
60.193,1.7709,-1.1129,5.442,5.83
60.193,1.976,-1.2222,4.587,5.142
60.193,2.0783,-1.237,3.589,4.328
60.193,2.1093,-1.2363,2.4911,3.49
60.194,1.9612,-1.1389,1.238,2.584
60.194,1.7241,-0.9856,-0.018,1.986
60.194,1.3661,-0.8175,-1.141,1.959
60.194,1.082,-0.5918,-1.9712,2.325
60.194,0.8347,-0.3471,-2.4178,2.581
60.194,0.8714,-0.1196,-2.4354,2.589
60.195,0.9163,0.0187,-2.1486,2.336
60.195,0.7367,0.1366,-1.7702,1.922
60.195,8.1867,0.8324,2.658,8.648
60.195,5.8898,-0.0721,2.5135,6.404
60.195,5.3174,-0.5708,1.4982,5.554
60.195,4.696,-0.8614,0.4526,4.796
60.195,4.2401,-1.0371,0.1557,4.368
60.196,0.1551,-1.5545,-1.1534,1.942
60.196,-0.084,-1.0149,0.223,1.042
60.196,-1.0132,-0.5916,0.1249,1.18
60.196,-4.8763,-0.8448,0.6507,4.991
60.196,-8.358,-0.8558,-0.0251,8.402
60.196,-7.9098,-0.0031,-1,7.973
60.197,-1.3472,0.9958,1.305,2.124
60.197,0.4885,1.3128,0.8139,1.62
60.197,1.8069,1.1814,0.3153,2.182
60.197,2.3066,0.9802,-0.2,2.514
60.197,1.7143,0.772,-0.5792,1.967
60.197,-0.4178,0.6452,-1.2365,1.456
60.197,-3.399,0.6033,-0.937,3.577
60.198,-4.557,1.1577,-0.3245,4.713
60.198,-4.9643,1.3113,1.3566,5.311
60.198,-6.1899,1.0113,1.9053,6.555
60.198,-5.6084,1.0481,0.7745,5.758
60.198,-3.3686,1.2923,-0.5415,3.648
60.198,-1.3741,1.2838,-1.4254,2.36
60.198,-0.4589,0.8802,-1.9703,2.206
60.199,-0.3321,0.3659,-1.9993,2.059
60.199,4.3713,0.451,1.1551,4.544
60.199,5.2521,-0.0127,3.2874,6.196
60.199,5.5775,-0.6241,2.8751,6.306
60.199,5.3684,-1.2241,1.5994,5.734
60.199,4.8316,-1.563,0.5514,5.108
60.2,2.8836,-1.9731,-0.3923,3.516
60.2,3.8686,-1.8891,0.6673,4.357
60.2,3.5505,-1.7958,0.6768,4.036
60.2,1.0712,-2.0195,0.8453,2.437
60.2,-1.29,-1.97,0.2366,2.367
60.2,-1.464,-1.3908,-0.959,2.235
60.2,-1.0213,-0.8159,-2.124,2.494
60.201,-0.1364,-0.2829,-2.5474,2.567
60.201,0.1304,0.0362,-2.0868,2.091
60.201,-0.3741,0.1405,-1.1894,1.255
60.201,-0.9306,0.2661,-0.2751,1.006
60.201,-0.9355,0.5057,0.5651,1.204
60.201,-0.5258,0.718,1.2345,1.522
60.201,0.0409,0.7359,1.6361,1.794
60.202,0.5886,0.6363,1.7752,1.976
60.202,0.9843,0.4457,1.7081,2.021
60.202,1.1953,0.3029,1.5269,1.963
60.202,1.3204,0.2484,1.1965,1.799
60.202,1.2886,0.237,0.6498,1.462
60.202,1.1793,0.2783,0.0405,1.212
60.202,1.1402,0.3723,-0.3852,1.26
60.202,0.9823,0.3973,-0.5524,1.195
60.203,0.7154,0.3868,-0.5787,0.998
60.203,0.4209,0.4388,-0.4398,0.75
60.203,0.0794,0.5077,-0.2259,0.561
60.203,-0.1974,0.5335,0.0302,0.57
60.203,-0.4625,0.5687,0.2456,0.773
60.203,-0.726,0.5605,0.3471,0.981
60.203,-0.8875,0.552,0.3877,1.115
60.203,-1.0091,0.4715,0.3871,1.179
60.203,-1.1023,0.3837,0.2715,1.198
60.204,-1.0878,0.2623,0.096,1.123
60.204,-1.1208,0.0931,-0.1109,1.13
60.204,-1.1366,-0.0568,-0.3567,1.193
60.204,-1.1304,-0.2065,-0.6181,1.305
60.204,-1.0666,-0.3489,-0.7906,1.373
60.204,-0.9236,-0.4694,-0.8772,1.357
60.204,-0.759,-0.5371,-0.8998,1.294
60.204,-0.5728,-0.5305,-0.806,1.122
60.205,-0.3362,-0.4616,-0.6533,0.868
60.205,-0.078,-0.3735,-0.4222,0.569
60.205,0.1011,-0.2354,-0.1798,0.313
60.205,-0.1682,-0.0522,0.0933,0.199
60.205,-0.1569,0.0947,0.2341,0.297
60.205,0.0346,0.1742,0.3887,0.427
60.205,0.1366,0.1675,0.5239,0.567
60.205,0.1356,0.0724,0.6182,0.637
60.205,-0.0375,-0.0704,0.6502,0.655
60.206,-0.3776,-0.2512,0.6917,0.827
60.206,-0.7293,-0.3434,0.7263,1.085
60.206,-1.0305,-0.3877,0.6296,1.268
60.206,-1.2209,-0.3674,0.4211,1.343
60.206,-1.3174,-0.304,0.1222,1.358
60.206,-1.3004,-0.207,-0.2624,1.343
60.206,-1.1964,-0.1219,-0.5804,1.335
60.206,-1.1321,-0.0176,-0.7553,1.361
60.207,-1.0601,0.1084,-0.7273,1.29
60.207,-0.9687,0.2509,-0.6184,1.176
60.207,-0.8155,0.4483,-0.4622,1.039
60.207,-0.6919,0.5879,-0.2871,0.952
60.207,-0.6179,0.6841,-0.134,0.932
60.207,-0.4914,0.6962,0.0569,0.854
60.207,-0.249,0.66,0.2474,0.748
60.207,-0.0123,0.5255,0.349,0.631
60.208,0.2213,0.3835,0.379,0.583
60.208,0.5246,0.1722,0.366,0.662
60.208,0.7718,-0.0653,0.3224,0.839
60.208,0.8112,-0.3143,0.1813,0.889
60.208,0.8545,-0.5557,-0.0116,1.019
60.208,0.7594,-0.7772,-0.2085,1.106
60.208,0.4221,-1.0267,-0.4663,1.204
60.208,1.1879,-0.9818,-0.134,1.547
60.209,1.0128,-1.0086,0.3085,1.462
60.209,1.0309,-1.1903,0.1646,1.583
60.209,1.0458,-1.2422,-0.3996,1.672
60.209,0.2642,-1.2075,-0.3696,1.29
60.209,-0.1132,-1.1178,0.1044,1.128
60.209,0.3253,-0.7729,0.3822,0.922
60.209,-1.0634,-0.7366,0.1958,1.308
60.209,-1.9279,-0.2823,-0.6637,2.058
60.21,-0.1441,0.0946,0.6296,0.653
60.21,0.5823,0.1146,1.4666,1.582
60.21,0.1911,-0.071,0.5526,0.589
60.21,0.8734,-0.0479,0.4171,0.969
60.21,-3.2417,-0.0669,-1.6197,3.624
60.21,-2.0381,0.6383,-1.1177,2.41
60.21,-2.0798,0.6654,0.7753,2.317
60.211,-2.8697,0.522,0.6364,2.985
60.211,-1.4405,0.6985,0.3434,1.637
60.211,-0.279,0.6383,0.1664,0.716
60.211,0.4345,0.4494,-0.0533,0.627
60.211,0.9167,0.2059,0.029,0.94
