timeE,axE,ayE,azE,aTE
1.114,-1.1049,0.1467,2.7182,2.938
1.119,-0.633,0.2215,2.0301,2.138
1.124,0.0272,0.1648,1.3911,1.401
1.134,0.724,-0.0519,1.0091,1.243
1.135,1.021,-0.3346,1.0797,1.523
1.14,0.7793,-0.4645,1.4035,1.671
1.144,0.3001,-0.3295,1.8507,1.904
1.163,-0.0685,0.0478,2.32,2.322
1.165,-0.4564,0.427,2.7584,2.828
1.166,-0.9446,0.8039,3.0435,3.287
1.166,-1.3415,1.1431,3.0221,3.499
1.168,-1.604,1.4472,2.8257,3.557
1.172,-1.6965,1.6425,2.5426,3.47
1.177,-1.7158,1.7011,2.2036,3.27
1.183,-1.652,1.6243,1.8685,2.976
1.187,-1.4799,1.5353,1.6564,2.7
1.193,-1.2531,1.3678,1.5362,2.409
1.197,-1.0237,1.1728,1.5723,2.213
1.202,-0.8127,0.9695,1.6569,2.085
1.207,-0.6722,0.7671,1.831,2.096
1.217,-0.5065,0.579,2.0466,2.186
1.218,-0.3346,0.421,2.1966,2.261
1.221,-0.2085,0.3566,2.1905,2.229
1.226,-0.008,0.3205,2.067,2.092
1.232,0.163,0.2379,1.9343,1.956
1.236,0.0287,0.2495,1.7088,1.727
1.24,-0.1672,0.3023,1.4843,1.524
1.252,-0.2771,0.3983,1.268,1.358
1.253,-0.384,0.4919,1.1486,1.307
1.255,-0.5485,0.5683,1.0903,1.346
1.26,-0.7339,0.6462,1.1408,1.503
1.269,-0.8327,0.706,1.2356,1.649
1.27,-0.8985,0.7375,1.3102,1.752
1.274,-0.9679,0.7598,1.4314,1.888
1.28,-1.008,0.7535,1.549,1.996
1.284,-0.9717,0.7573,1.5769,2.001
1.29,-0.934,0.7498,1.4984,1.918
1.295,-0.9024,0.7006,1.3851,1.795
1.299,-0.8748,0.637,1.261,1.662
1.303,-0.8233,0.5765,1.1591,1.534
1.308,-0.8105,0.505,1.0531,1.422
1.315,-0.8223,0.4879,0.981,1.37
1.318,-0.8211,0.4658,0.9618,1.348
1.323,-0.8007,0.4443,0.9306,1.306
1.327,-0.7861,0.3684,0.8634,1.224
1.333,-0.756,0.3082,0.7792,1.129
1.337,-0.7345,0.2616,0.7186,1.06
1.342,-0.7355,0.2195,0.6838,1.028
1.35,-0.7857,0.2029,0.6272,1.026
1.352,-0.8538,0.2144,0.594,1.062
1.356,-0.942,0.2226,0.5055,1.092
1.371,-1.0066,0.2351,0.3953,1.107
1.371,-1.0211,0.2822,0.2491,1.088
1.371,-1.049,0.3353,0.0624,1.103
1.376,-1.1678,0.3681,-0.1577,1.235
1.382,-1.1804,0.3662,-0.3345,1.28
1.385,-1.1534,0.3985,-0.487,1.314
1.391,-1.1429,0.3717,-0.6178,1.351
1.396,-1.1529,0.3789,-0.5953,1.352
1.4,-1.1183,0.3861,-0.4984,1.284
1.405,-1.1134,0.371,-0.3463,1.224
1.41,-1.0977,0.3928,-0.153,1.176
1.415,-1.0457,0.3792,0.0074,1.112
1.419,-1.0512,0.2991,0.1636,1.105
1.424,-1.055,0.2332,0.2562,1.11
1.435,-0.9883,0.1601,0.2541,1.033
1.435,-0.9162,0.1185,0.1979,0.945
1.44,-0.8632,0.035,0.09,0.869
1.444,-0.8726,-0.0008,-0.0702,0.875
1.453,-0.9685,0.0067,-0.2849,1.01
1.453,-1.0191,0.071,-0.5262,1.149
1.46,-1.0317,0.1239,-0.6676,1.235
1.464,-1.0661,0.1329,-0.6764,1.269
1.468,-1.125,0.1245,-0.6387,1.3
1.474,-1.166,0.0845,-0.4663,1.259
1.478,-1.2017,0.0747,-0.3552,1.255
1.483,-1.2272,0.0113,-0.2791,1.259
1.487,-1.2403,-0.0537,-0.2376,1.264
1.492,-1.2096,-0.1279,-0.1779,1.229
1.497,-1.1707,-0.1952,-0.181,1.201
1.502,-1.1301,-0.2249,-0.2038,1.17
1.507,-1.0808,-0.2918,-0.2054,1.138
1.513,-1.0792,-0.3533,-0.2166,1.156
1.517,-1.0984,-0.3764,-0.2302,1.184
1.521,-1.1621,-0.3905,-0.2076,1.243
1.526,-1.1767,-0.3677,-0.1988,1.249
1.532,-1.173,-0.323,-0.2107,1.235
1.537,-1.2177,-0.3287,-0.2193,1.28
1.541,-1.2606,-0.3418,-0.2459,1.329
1.556,-1.2633,-0.3414,-0.2951,1.342
1.557,-1.2665,-0.3562,-0.3478,1.361
1.557,-1.2841,-0.3811,-0.3849,1.394
1.562,-1.2561,-0.3898,-0.4304,1.384
1.579,-1.2304,-0.3801,-0.5033,1.383
1.58,-1.2455,-0.3565,-0.5677,1.415
1.581,-1.2869,-0.3309,-0.674,1.49
1.584,-1.3041,-0.2764,-0.8008,1.555
1.585,-1.288,-0.2122,-0.9814,1.633
1.589,-1.2767,-0.1594,-1.1514,1.727
1.594,-1.3035,-0.0717,-1.2896,1.835
1.601,-1.364,-0.001,-1.4156,1.966
1.604,-1.4129,0.084,-1.5151,2.073
1.608,-1.4123,0.1722,-1.6123,2.15
1.614,-1.4369,0.224,-1.6647,2.21
1.618,-1.4415,0.2776,-1.6652,2.22
1.623,-1.4412,0.3171,-1.6477,2.212
1.629,-1.4386,0.3356,-1.6577,2.22
1.633,-1.4556,0.3477,-1.6738,2.245
1.638,-1.4686,0.3109,-1.6772,2.251
1.643,-1.4493,0.2636,-1.687,2.24
1.652,-1.4383,0.1944,-1.6319,2.184
1.653,-1.421,0.1272,-1.5048,2.074
1.658,-1.4022,0.0309,-1.3273,1.931
1.668,-1.4106,-0.0374,-1.0994,1.789
1.668,-1.3653,-0.0954,-0.8278,1.6
1.672,-1.3044,-0.1366,-0.603,1.444
1.678,-1.2852,-0.2049,-0.3697,1.353
1.686,-1.2835,-0.2794,-0.1514,1.322
1.687,-1.2495,-0.3251,0.0141,1.291
1.693,-1.1834,-0.3781,0.1174,1.248
1.698,-1.1192,-0.4077,0.2019,1.208
1.703,-1.0453,-0.4688,0.2268,1.168
1.707,-0.909,-0.5209,0.2234,1.071
1.711,-0.7391,-0.5663,0.1942,0.951
1.754,-0.6023,-0.6004,0.1367,0.861
1.755,-0.4651,-0.5897,0.0295,0.752
1.755,-0.3793,-0.5869,-0.0651,0.702
1.756,-0.2705,-0.5706,-0.1424,0.647
1.756,-0.1982,-0.5193,-0.2311,0.602
1.757,-0.1407,-0.4497,-0.3694,0.599
1.757,-0.0979,-0.3523,-0.5932,0.697
1.758,-0.0597,-0.2458,-0.8142,0.853
1.758,-0.0855,-0.1177,-1.0015,1.012
1.761,-0.1391,0.0041,-1.1484,1.157
1.765,-0.2184,0.139,-1.2122,1.24
1.769,-0.3164,0.2472,-1.2674,1.33
1.774,-0.383,0.3384,-1.2281,1.33
1.778,-0.4158,0.3817,-1.178,1.306
1.784,-0.4294,0.444,-1.0932,1.256
1.788,-0.4638,0.4649,-0.9736,1.174
1.792,-0.4998,0.4894,-0.8476,1.099
1.799,-0.5131,0.5048,-0.7316,1.026
1.803,-0.5588,0.4915,-0.5776,0.942
1.808,-0.5981,0.4729,-0.4044,0.863
1.815,-0.5835,0.4605,-0.2717,0.791
1.817,-0.5557,0.4491,-0.1936,0.74
1.822,-0.5674,0.4198,-0.1605,0.724
1.827,-0.628,0.375,-0.1317,0.743
1.836,-0.6489,0.3603,-0.1218,0.752
1.838,-0.6252,0.4021,-0.1808,0.765
1.841,-0.6454,0.4673,-0.266,0.84
1.859,-0.6875,0.5107,-0.3845,0.939
1.86,-0.7707,0.5615,-0.4316,1.047
1.86,-0.8374,0.5556,-0.4265,1.092
1.86,-0.8589,0.5648,-0.3263,1.079
1.875,-0.8691,0.5631,-0.1791,1.051
1.876,-0.9158,0.5499,0.001,1.068
1.876,-0.98,0.47,0.1855,1.103
1.881,-1.1191,0.3419,0.456,1.256
1.885,-1.2312,0.1675,0.6717,1.413
1.889,-1.2145,0.0777,0.8234,1.469
1.923,-1.1098,0.0936,0.9137,1.441
1.923,-0.9006,0.2124,0.9047,1.294
1.923,-0.6699,0.3719,0.7724,1.088
1.924,-0.597,0.4342,0.6793,1.003
1.924,-0.5054,0.4235,0.6323,0.914
1.924,-0.4436,0.4093,0.5357,0.807
1.925,-0.3561,0.4491,0.4566,0.733
1.933,-0.3431,0.526,0.4306,0.761
1.935,-0.4163,0.5873,0.4149,0.831
1.938,-0.4703,0.6376,0.3712,0.875
1.943,-0.5151,0.6245,0.2493,0.847
1.948,-0.5629,0.6299,0.0275,0.845
1.956,-0.5634,0.6667,-0.3087,0.926
1.957,-0.6118,0.7498,-0.6378,1.159
1.962,-0.6456,0.8517,-0.8576,1.37
1.968,-0.7244,0.9369,-0.9206,1.5
1.973,-0.8651,0.9315,-0.9251,1.572
1.977,-0.9004,0.9095,-0.8853,1.556
1.981,-0.9541,0.8775,-0.7511,1.498
1.987,-0.9374,0.8947,-0.4743,1.38
1.991,-0.8962,0.9195,-0.1932,1.298
1.997,-0.9383,0.829,0.0663,1.254
2.002,-0.9974,0.6321,0.2472,1.206
2.006,-0.873,0.3858,0.4002,1.035
2.011,-0.6301,0.2574,0.3891,0.784
2.016,-0.3876,0.2658,0.2619,0.538
2.021,-0.324,0.3539,0.095,0.489
