timeE,axE,ayE,azE,aTE
31.821,0.472,-0.5481,0.6534,0.975
31.829,0.5335,-0.6018,0.711,1.074
31.833,0.5695,-0.6244,0.7395,1.123
31.845,0.6133,-0.6181,0.8152,1.193
31.846,0.6528,-0.6023,0.8761,1.248
31.846,0.6882,-0.5912,0.9032,1.28
31.851,0.7121,-0.5514,0.9658,1.321
31.855,0.6984,-0.5092,1.0663,1.373
31.86,0.6467,-0.4766,1.1758,1.424
31.865,0.5885,-0.4392,1.2227,1.426
31.869,0.5163,-0.3922,1.1882,1.354
31.876,0.4563,-0.3644,1.1346,1.276
31.879,0.4253,-0.3605,1.0307,1.172
31.884,0.3827,-0.3684,0.9695,1.105
31.888,0.3642,-0.3907,0.953,1.092
31.893,0.3627,-0.4392,1.0001,1.151
31.899,0.3826,-0.5139,1.1059,1.278
31.904,0.4432,-0.5981,1.2201,1.429
31.907,0.4989,-0.6845,1.3282,1.575
31.913,0.5544,-0.7444,1.3994,1.679
31.92,0.6694,-0.7996,1.4054,1.75
31.923,0.7986,-0.8211,1.4132,1.819
31.929,0.9398,-0.8163,1.3415,1.83
31.933,1.103,-0.8233,1.2455,1.856
31.938,1.2381,-0.7943,1.0989,1.836
31.943,1.3338,-0.6601,0.8638,1.721
31.948,1.4017,-0.4852,0.6221,1.608
31.952,1.4847,-0.3272,0.3981,1.572
31.957,1.3151,-0.248,0.0696,1.34
31.962,0.9057,0.008,-0.0483,0.907
31.967,0.3612,0.3475,-0.0291,0.502
31.972,-0.2065,0.6724,-0.0559,0.706
31.978,-0.7093,1.0087,-0.3094,1.271
31.982,-1.1566,1.3183,-0.7751,1.917
31.987,-1.6226,1.6109,-1.3002,2.63
31.992,-2.0667,1.8553,-1.7522,3.284
31.997,-2.4489,2.0372,-2.0841,3.807
32.003,-2.7071,2.128,-2.3276,4.156
32.007,-2.8159,2.1302,-2.4642,4.306
32.01,-2.8164,2.0295,-2.5136,4.286
32.018,-2.6943,1.8116,-2.4504,4.068
32.02,-2.4856,1.5652,-2.1914,3.665
32.026,-2.1637,1.2664,-1.7387,3.051
32.03,-1.6544,0.9751,-1.3401,2.342
32.035,-1.1225,0.7366,-1.0403,1.698
32.041,-0.6944,0.5988,-0.7768,1.202
32.046,-0.3151,0.5639,-0.5109,0.824
32.052,-0.0276,0.6126,-0.223,0.653
32.055,0.2637,0.6492,0.0059,0.701
32.058,0.535,0.7335,0.1114,0.915
32.063,0.8102,0.7698,0.1488,1.127
32.07,1.0775,0.7844,0.1034,1.337
32.074,1.2892,0.7584,0.0489,1.497
32.079,1.4908,0.6703,0.0065,1.635
32.083,1.6964,0.5033,0.0549,1.77
32.089,1.8965,0.2863,0.1057,1.921
32.093,2.0884,0.0073,0.1353,2.093
32.098,2.2652,-0.2715,0.1296,2.285
32.103,2.3556,-0.5356,0.1272,2.419
32.109,2.348,-0.8065,0.0732,2.484
32.112,2.2478,-1.0316,-0.018,2.473
32.118,2.0338,-1.2062,-0.1416,2.369
32.123,1.7922,-1.3494,-0.2928,2.262
32.128,1.5111,-1.4278,-0.484,2.135
32.133,1.269,-1.4439,-0.6535,2.03
32.137,1.0755,-1.4145,-0.7157,1.916
32.141,0.9111,-1.33,-0.6302,1.731
32.147,0.7735,-1.1931,-0.4712,1.498
32.151,0.6627,-1.0252,-0.3004,1.257
32.157,0.5836,-0.8287,-0.1868,1.031
32.16,0.4911,-0.6467,-0.0822,0.816
32.165,0.39,-0.4696,-0.0489,0.612
32.171,0.2515,-0.3141,-0.0461,0.405
32.178,0.1428,-0.1611,-0.074,0.228
32.185,-0.0057,-0.0153,-0.1111,0.112
32.186,-0.1201,0.1161,-0.1625,0.233
32.191,-0.2103,0.2331,-0.1781,0.361
32.195,-0.2979,0.3308,-0.139,0.466
32.202,-0.3685,0.4284,-0.0644,0.569
32.205,-0.4344,0.5355,0.0243,0.69
32.21,-0.503,0.6162,0.077,0.799
32.214,-0.5885,0.6752,0.1033,0.902
32.222,-0.6935,0.7149,0.0916,1
32.225,-0.7727,0.7187,0.0777,1.058
32.23,-0.8836,0.6841,0.0211,1.118
32.233,-0.9735,0.6351,-0.0806,1.165
32.241,-1.0543,0.543,-0.1746,1.199
32.243,-1.0568,0.4485,-0.2804,1.182
32.248,-1.0076,0.292,-0.3312,1.1
32.253,-0.9063,0.1713,-0.3176,0.976
32.258,-0.7602,0.0365,-0.3377,0.833
32.263,-0.636,-0.0839,-0.322,0.718
32.269,-0.5216,-0.1444,-0.2947,0.616
32.274,-0.4192,-0.1857,-0.215,0.506
32.278,-0.3642,-0.2077,-0.1284,0.439
32.282,-0.3521,-0.1985,-0.0589,0.408
32.289,-0.3372,-0.1654,0.0271,0.377
32.292,-0.3674,-0.1394,0.113,0.409
32.298,-0.3973,-0.1062,0.1749,0.447
32.303,-0.41,-0.0921,0.2296,0.479
32.307,-0.4514,-0.0851,0.2889,0.543
32.312,-0.4951,-0.0734,0.3289,0.599
32.319,-0.5268,-0.119,0.3832,0.662
32.32,-0.5827,-0.1885,0.4255,0.746
32.327,-0.6172,-0.3057,0.4893,0.845
32.332,-0.7,-0.4229,0.5362,0.978
32.336,-0.7591,-0.5663,0.5856,1.113
32.342,-0.8042,-0.6809,0.604,1.215
32.346,-0.8759,-0.7668,0.6013,1.31
32.35,-0.9097,-0.8263,0.5463,1.345
32.356,-0.9345,-0.8716,0.4748,1.363
32.361,-0.8928,-0.85,0.4419,1.31
32.366,-0.8398,-0.7735,0.383,1.204
32.373,-0.7635,-0.6662,0.3457,1.071
32.374,-0.7043,-0.5304,0.3394,0.945
32.381,-0.6478,-0.3686,0.3404,0.819
32.384,-0.6345,-0.2069,0.3795,0.768
32.39,-0.6783,-0.0693,0.4594,0.822
32.394,-0.7481,0.1184,0.5227,0.92
32.408,-0.8104,0.2413,0.6269,1.053
32.41,-0.8603,0.3689,0.7028,1.171
32.411,-0.9005,0.4654,0.7195,1.243
32.413,-0.8926,0.502,0.6628,1.22
32.419,-0.8846,0.4836,0.5374,1.142
32.425,-0.8742,0.3983,0.4026,1.042
32.432,-0.8446,0.3131,0.3588,0.97
32.435,-0.877,0.1995,0.3533,0.966
32.44,-0.938,0.1003,0.3789,1.017
32.441,-1.0371,-0.0107,0.4379,1.126
32.447,-1.1455,-0.0952,0.5088,1.257
32.452,-1.2561,-0.1653,0.5918,1.398
32.458,-1.3236,-0.2304,0.62,1.48
32.462,-1.3889,-0.3004,0.5863,1.537
32.467,-1.4188,-0.3728,0.5502,1.567
32.471,-1.3797,-0.4834,0.495,1.543
32.477,-1.384,-0.6058,0.4442,1.575
32.481,-1.3957,-0.6827,0.4123,1.607
32.488,-1.4289,-0.7356,0.3893,1.654
32.49,-1.4359,-0.7335,0.3827,1.657
32.497,-1.4119,-0.7028,0.4353,1.636
32.502,-1.3523,-0.6792,0.5494,1.61
32.506,-1.2666,-0.6916,0.7394,1.622
32.511,-1.1974,-0.699,0.9073,1.657
32.519,-1.2351,-0.68,0.9697,1.711
32.521,-1.3054,-0.6106,0.9697,1.737
32.526,-1.3798,-0.5388,0.9074,1.737
32.531,-1.4826,-0.4527,0.8857,1.785
32.535,-1.583,-0.3643,0.8424,1.83
32.54,-1.6408,-0.2905,0.751,1.828
32.544,-1.6848,-0.2169,0.6353,1.814
32.552,-1.6937,-0.1866,0.5068,1.778
32.554,-1.6579,-0.1851,0.3727,1.709
32.559,-1.6133,-0.1814,0.2754,1.647
32.562,-1.5837,-0.1992,0.2076,1.61
32.568,-1.5902,-0.2482,0.1978,1.622
32.572,-1.5874,-0.2588,0.2412,1.626
32.577,-1.611,-0.2886,0.3114,1.666
32.583,-1.6038,-0.4043,0.3823,1.698
32.587,-1.5633,-0.5772,0.4466,1.725
32.592,-1.5256,-0.7882,0.5382,1.8
32.597,-1.5124,-1.0013,0.6236,1.918
32.602,-1.5141,-1.1928,0.7748,2.077
32.607,-1.4783,-1.2933,0.9371,2.176
32.613,-1.4148,-1.2744,0.9276,2.118
32.617,-1.3046,-1.2032,0.7181,1.915
32.621,-1.1741,-1.0248,0.3446,1.596
32.626,-0.9445,-0.7656,-0.0713,1.218
32.63,-0.6592,-0.4497,-0.5224,0.954
32.635,-0.1855,-0.3212,-0.868,0.944
32.64,0.7302,-0.1532,-0.9358,1.197
32.648,1.5712,0.1139,-0.5287,1.662
32.649,2.1326,0.511,-0.3159,2.216
32.656,2.4812,0.7392,-0.5971,2.657
32.66,2.8307,0.794,-1.2234,3.184
32.664,3.3045,0.9465,-1.9878,3.971
32.669,3.6665,1.1829,-2.4057,4.542
32.675,3.7247,1.5017,-2.184,4.571
32.679,3.2098,1.8913,-1.5391,4.031
32.684,2.1806,2.1484,-0.8087,3.166
32.688,0.8732,2.1987,-0.0676,2.367
32.693,-0.4038,2.1304,0.5508,2.237
32.698,-1.3619,2.0554,0.9175,2.631
32.703,-1.8513,1.9969,1.0677,2.925
32.708,-1.9009,1.9258,1.0174,2.891
32.713,-1.5763,1.8063,0.8588,2.547
32.717,-1.0234,1.5812,0.6631,1.997
32.722,-0.466,1.2987,0.5501,1.485
32.728,-0.0842,0.9663,0.5345,1.107
32.733,0.1065,0.6153,0.6146,0.876
32.737,0.0638,0.2482,0.772,0.813
32.742,-0.1783,-0.1231,0.9141,0.939
32.745,-0.4885,-0.4388,0.9408,1.147
32.751,-0.7597,-0.6538,0.831,1.302
32.756,-0.8638,-0.8544,0.6014,1.356
32.761,-0.854,-0.9356,0.3381,1.311
32.767,-0.7736,-1.0026,0.043,1.267
32.771,-0.6462,-1.022,-0.2437,1.233
32.775,-0.5338,-1.0439,-0.4243,1.247
32.781,-0.4787,-1.049,-0.5303,1.269
32.785,-0.4399,-1.0515,-0.5596,1.27
32.79,-0.4553,-1.0468,-0.5575,1.27
32.795,-0.47,-1.092,-0.5695,1.318
32.8,-0.4651,-1.1419,-0.6001,1.371
32.805,-0.4336,-1.1678,-0.5707,1.37
32.81,-0.3924,-1.1506,-0.5674,1.342
32.815,-0.3371,-1.0714,-0.5637,1.257
32.819,-0.2343,-0.9325,-0.5621,1.114
32.825,-0.1818,-0.8081,-0.5748,1.008
32.83,-0.1268,-0.6863,-0.5759,0.905
32.833,-0.0837,-0.5358,-0.5705,0.787
32.84,-0.038,-0.3663,-0.53,0.645
32.844,-0.0113,-0.1754,-0.5001,0.53
32.851,-0.013,0.0034,-0.452,0.452
32.854,-0.0287,0.1678,-0.3692,0.407
32.858,-0.068,0.2914,-0.2613,0.397
32.864,-0.0833,0.3505,-0.1212,0.38
32.869,-0.1368,0.3712,0.0178,0.396
32.873,-0.1475,0.3609,0.115,0.406
32.878,-0.1536,0.3098,0.1923,0.396
32.883,-0.1339,0.2493,0.1757,0.333
32.888,-0.1074,0.1768,0.1251,0.242
32.892,-0.0953,0.0709,0.0622,0.134
32.898,-0.1215,-0.0252,0.0202,0.126
32.903,-0.1595,-0.1307,0.0039,0.206
32.907,-0.1688,-0.1931,-0.0033,0.257
32.913,-0.1591,-0.241,0.0031,0.289
32.918,-0.1018,-0.2483,0.0569,0.274
32.922,-0.0137,-0.2508,0.1246,0.28
32.928,0.0576,-0.2294,0.192,0.305
32.932,0.1312,-0.1794,0.238,0.326
32.938,0.1882,-0.0959,0.272,0.344
32.941,0.2171,-0.0171,0.2653,0.343
32.95,0.2179,0.0401,0.2564,0.339
32.951,0.1908,0.1142,0.207,0.304
32.957,0.1786,0.1931,0.16,0.308
32.96,0.1526,0.2529,0.1396,0.327
32.966,0.1485,0.2696,0.1384,0.337
32.971,0.1612,0.2457,0.1564,0.333
32.976,0.1692,0.2075,0.1794,0.322
32.981,0.1651,0.1431,0.1931,0.292
32.985,0.1873,0.081,0.2216,0.301
32.991,0.1854,0.0238,0.205,0.277
32.996,0.2002,-0.0453,0.1699,0.266
33,0.2028,-0.0881,0.1232,0.253
33.005,0.2316,-0.1261,0.0363,0.266
33.011,0.253,-0.1713,-0.0145,0.306
33.014,0.2314,-0.1902,-0.0484,0.303
33.02,0.1909,-0.1826,-0.075,0.275
33.025,0.1314,-0.1393,-0.1111,0.221
33.03,0.0553,-0.1103,-0.1162,0.169
33.034,-0.0209,-0.0623,-0.1307,0.146
33.039,-0.0543,-0.0478,-0.114,0.135
33.044,-0.0735,-0.0287,-0.0687,0.105
33.049,-0.0931,-0.012,0.0053,0.094
33.054,-0.0865,-0.0193,0.0956,0.13
33.057,-0.1016,0.0164,0.1858,0.212
33.062,-0.1048,0.0831,0.2638,0.296
33.067,-0.0819,0.1139,0.2821,0.315
33.071,-0.0593,0.1422,0.267,0.308
33.076,-0.0321,0.156,0.2567,0.302
33.082,-0.0455,0.1579,0.2536,0.302
33.086,-0.0447,0.1574,0.2434,0.293
33.091,-0.0556,0.1282,0.2667,0.301
33.096,-0.0762,0.1015,0.2805,0.308
33.1,-0.0919,0.0987,0.292,0.322
33.106,-0.1122,0.1031,0.2701,0.31
33.11,-0.1347,0.0812,0.2101,0.262
33.115,-0.1451,0.0785,0.1669,0.235
33.12,-0.1792,0.0639,0.1454,0.239
33.124,-0.2084,0.0684,0.1527,0.267
33.133,-0.2564,0.0586,0.1458,0.301
33.134,-0.2708,0.0441,0.1631,0.319
33.14,-0.2757,0.02,0.1808,0.33
33.144,-0.2544,0.0174,0.1986,0.323
33.15,-0.2284,0.0076,0.1714,0.286
33.16,-0.1739,0.0265,0.1326,0.22
33.161,-0.069,0.007,0.0864,0.111
33.164,-0.0101,0.0042,0.0905,0.091
33.169,0.0174,-0.008,0.0969,0.099
33.174,0.0425,0.0108,0.0961,0.106
33.179,0.0484,0.0246,0.0788,0.096
33.185,0.0211,0.0336,0.0639,0.075
33.188,0.0295,0.0544,0.0563,0.084
33.192,0.0565,0.0678,0.0297,0.093
33.198,0.1231,0.0763,0.0317,0.148
33.203,0.2008,0.0989,0.0528,0.23
33.21,0.2845,0.1188,0.0618,0.314
33.212,0.339,0.1053,0.0828,0.364
33.218,0.3929,0.0777,0.0372,0.402
33.222,0.4393,0.067,0.0155,0.445
33.227,0.4747,0.0616,0.02,0.479
33.233,0.4959,0.0228,0.0122,0.497
33.237,0.5055,0.051,0.0425,0.51
33.242,0.501,0.0338,0.075,0.508
33.246,0.5064,0.0263,0.1123,0.519
33.256,0.4642,0.0045,0.1067,0.476
33.257,0.4341,-0.0053,0.0964,0.445
33.261,0.3852,-0.0318,0.0863,0.396
33.266,0.3244,-0.0343,0.0594,0.332
33.272,0.3138,-0.0273,0.0564,0.32
33.276,0.3032,0.006,0.0413,0.306
33.282,0.2567,-0.0038,0.0738,0.267
33.286,0.2318,0.0151,0.1061,0.255
33.291,0.2354,0.0268,0.1622,0.287
33.296,0.2295,0.0409,0.187,0.299
33.301,0.2402,0.043,0.1807,0.304
33.305,0.2627,0.0403,0.1481,0.304
33.312,0.2733,0.0137,0.1132,0.296
33.317,0.2933,-0.0128,0.1021,0.311
33.319,0.2918,-0.0418,0.1317,0.323
33.325,0.257,-0.0682,0.1802,0.321
33.331,0.2391,-0.0707,0.2405,0.346
33.333,0.1854,-0.0493,0.3198,0.373
33.339,0.1773,-0.0232,0.3774,0.418
33.345,0.1429,0.003,0.3753,0.402
33.349,0.147,0.0339,0.3709,0.4
33.354,0.12,0.1007,0.3401,0.374
33.361,0.11,0.1411,0.3189,0.366
33.364,0.0977,0.1815,0.3286,0.388
33.369,0.0665,0.2003,0.3286,0.391
33.374,0.0401,0.1953,0.3596,0.411
33.38,0.0448,0.1592,0.3522,0.389
33.383,0.0611,0.1009,0.3399,0.36
33.387,0.0629,0.0407,0.337,0.345
33.392,0.0764,-0.0024,0.3174,0.326
33.396,0.1039,-0.0498,0.324,0.344
33.402,0.1216,-0.0827,0.3066,0.34
33.407,0.1273,-0.1248,0.313,0.36
33.413,0.1353,-0.1428,0.2979,0.357
33.416,0.1406,-0.137,0.2874,0.348
33.423,0.1555,-0.1359,0.2841,0.351
33.427,0.1653,-0.1111,0.2618,0.329
33.431,0.1513,-0.0913,0.2396,0.298
33.437,0.1588,-0.0669,0.2128,0.274
33.441,0.1546,-0.0569,0.1671,0.235
33.446,0.1364,-0.0446,0.1193,0.187
33.451,0.1258,-0.0465,0.0789,0.156
33.456,0.0845,-0.0484,0.0601,0.114
33.46,0.0792,-0.0526,0.0532,0.109
33.464,0.0338,-0.0568,0.0675,0.095
33.469,0.0102,-0.068,0.0817,0.107
33.474,-0.0321,-0.0578,0.072,0.098
33.479,-0.0953,-0.0595,0.0268,0.115
33.483,-0.132,-0.0873,0.0175,0.159
33.488,-0.1565,-0.0887,0.0083,0.18
33.494,-0.1976,-0.0902,0.0278,0.219
33.498,-0.2172,-0.0894,0.0211,0.236
33.503,-0.1821,-0.1075,0.0242,0.213
33.508,-0.1498,-0.0638,0.0441,0.169
33.512,-0.1463,-0.0633,0.0118,0.16
33.517,-0.0954,-0.0556,-0.0414,0.118
33.523,-0.0521,-0.0765,-0.1226,0.154
33.528,-0.0137,-0.0996,-0.2221,0.244
33.533,0.0127,-0.1058,-0.2924,0.311
33.539,-0.0015,-0.1191,-0.2958,0.319
33.542,-0.0061,-0.1251,-0.271,0.299
33.547,0.006,-0.1382,-0.2536,0.289
33.552,0.0061,-0.1156,-0.1912,0.224
33.557,-0.0128,-0.105,-0.1579,0.19
33.562,0.004,-0.0875,-0.1036,0.136
33.566,-0.0103,-0.07,-0.078,0.105
33.573,0.0017,-0.0884,-0.0621,0.108
33.576,-0.0267,-0.0804,-0.0439,0.095
33.581,-0.012,-0.101,-0.0328,0.107
33.586,-0.0162,-0.1024,-0.0219,0.106
33.591,-0.0109,-0.118,-0.0705,0.138
33.597,-0.0291,-0.1168,-0.1116,0.164
33.602,-0.0305,-0.1204,-0.098,0.158
33.605,-0.0389,-0.093,-0.0517,0.113
33.611,-0.0378,-0.0611,0.0223,0.075
33.616,-0.0202,-0.0271,0.0646,0.073
33.62,-0.0124,-0.0053,0.1016,0.102
33.626,-0.0095,0.0187,0.1144,0.116
33.63,-0.0232,0.0306,0.1317,0.137
33.635,-0.0582,0.0544,0.1061,0.133
33.642,-0.055,0.0636,0.0854,0.12
33.644,-0.0922,0.0823,0.0553,0.135
33.648,-0.1196,0.0961,0.0207,0.155
33.652,-0.1422,0.0979,-0.0516,0.18
33.656,-0.1482,0.1186,-0.1163,0.223
33.661,-0.1495,0.1296,-0.1521,0.25
33.665,-0.1367,0.131,-0.138,0.234
33.672,-0.1315,0.1846,-0.1075,0.251
33.679,-0.1384,0.1902,-0.0654,0.244
33.681,-0.1003,0.2313,-0.014,0.253
33.686,-0.1245,0.2602,0.0133,0.289
33.692,-0.1414,0.2722,0.0123,0.307
33.697,-0.1535,0.2745,0.0045,0.315
33.702,-0.1728,0.2721,-0.0386,0.325
33.707,-0.1754,0.2126,-0.0692,0.284
33.711,-0.178,0.1585,-0.0779,0.251
33.715,-0.1592,0.1047,-0.1195,0.225
33.721,-0.131,0.0514,-0.1156,0.182
33.726,-0.0983,0.0033,-0.0949,0.137
33.732,-0.0586,-0.0325,-0.0934,0.115
33.735,-0.0334,-0.0562,-0.0442,0.079
33.741,0.0034,-0.101,0.0022,0.101
33.745,0.047,-0.1028,0.0365,0.119
33.751,0.083,-0.0974,0.1228,0.177
33.756,0.1045,-0.0921,0.1612,0.213
33.759,0.1116,-0.0892,0.1924,0.24
33.764,0.0998,-0.0745,0.2047,0.24
33.77,0.0929,-0.067,0.2076,0.237
33.774,0.0578,-0.0477,0.2107,0.224
33.78,0.0373,-0.0333,0.1854,0.192
33.784,0.0267,-0.0213,0.1701,0.173
33.789,0.0092,0.0072,0.1431,0.144
33.793,0.0015,0.0212,0.1638,0.165
33.799,-0.0178,0.021,0.1488,0.151
33.803,-0.044,0.0397,0.1507,0.162
33.809,-0.0866,0.044,0.1217,0.156
33.814,-0.1147,0.0601,0.1263,0.181
33.82,-0.1236,0.0334,0.1594,0.204
33.824,-0.1324,0.0448,0.1877,0.234
33.828,-0.1601,0.0467,0.1755,0.242
33.833,-0.1851,0.0438,0.1564,0.246
33.839,-0.205,0.0552,0.1067,0.238
33.843,-0.1774,0.0523,0.0907,0.206
33.849,-0.1689,0.0375,0.0534,0.181
33.852,-0.1534,0.0442,0.0211,0.161
33.859,-0.138,0.0366,0.0175,0.144
33.863,-0.1227,0.0409,0.0187,0.131
33.866,-0.1145,0.0239,0.0128,0.118
33.872,-0.0969,0.0331,0.0259,0.106
33.877,-0.1173,0.0304,-0.0178,0.122
33.881,-0.1185,0.0159,-0.054,0.131
33.887,-0.1079,0.0275,-0.0922,0.145
33.892,-0.1068,0.0154,-0.1491,0.184
33.896,-0.0962,-0.0085,-0.1651,0.191
33.898,-0.0929,-0.0203,-0.2002,0.222
33.904,-0.1014,-0.0297,-0.1949,0.222
33.909,-0.0933,-0.0532,-0.2064,0.233
33.914,-0.0757,-0.0528,-0.1943,0.215
33.919,-0.0488,-0.0713,-0.1682,0.189
33.924,-0.0411,-0.085,-0.1307,0.161
33.929,-0.0359,-0.1151,-0.0841,0.147
33.934,-0.0307,-0.1236,-0.0546,0.139
33.938,-0.047,-0.1274,-0.0587,0.148
33.943,-0.0703,-0.1144,-0.0321,0.138
33.948,-0.0578,-0.1206,-0.0034,0.134
33.953,-0.0644,-0.1338,0.0061,0.149
33.959,-0.0945,-0.1042,0.0083,0.141
33.963,-0.0913,-0.0772,-0.0321,0.124
33.969,-0.1022,-0.067,-0.058,0.135
33.973,-0.0941,-0.0332,-0.0743,0.124
33.979,-0.0789,-0.0044,-0.0787,0.112
33.983,-0.0427,0.0312,-0.0808,0.097
33.988,-0.014,0.0452,-0.0546,0.072
33.992,-0.0045,0.0686,-0.043,0.081
34.004,0.0144,0.0894,0.0112,0.091
34.007,0.0093,0.0981,0.0294,0.103
34.008,-0.0123,0.1115,0.057,0.126
34.012,-0.0292,0.0916,0.0773,0.123
34.016,-0.0412,0.0836,0.0644,0.113
34.021,-0.1055,0.0686,0.0708,0.144
34.025,-0.1172,0.0513,0.0535,0.139
34.03,-0.1503,0.0649,0.0033,0.164
34.036,-0.1406,0.0618,0.008,0.154
34.041,-0.1241,0.0468,0.0411,0.139
34.045,-0.0841,0.0153,0.093,0.126
34.051,-0.0636,-0.0089,0.1281,0.143
34.055,-0.0315,-0.0187,0.1133,0.119
34.06,-0.021,-0.0308,0.0892,0.097
34.067,0.0013,-0.019,0.0629,0.066
34.069,0.0116,-0.0168,0.0439,0.048
34.076,0.0054,-0.0122,0.0463,0.048
34.079,0.0087,-0.0195,0.0866,0.089
34.085,-0.0069,-0.0315,0.1005,0.105
34.088,-0.0437,0.0065,0.1238,0.131
34.093,-0.0707,0.0346,0.0994,0.127
34.098,-0.0667,0.0151,0.1203,0.138
34.103,-0.0676,0.0194,0.1506,0.166
34.108,-0.0496,0.0141,0.1758,0.183
34.113,-0.0318,0.0398,0.208,0.214
34.118,-0.0167,0.0414,0.2186,0.223
34.123,0.0053,0.0549,0.1865,0.194
34.128,0.0105,0.0683,0.1474,0.163
34.132,0.0252,0.0531,0.1324,0.145
34.138,0.0445,0.0238,0.1387,0.148
34.142,0.0401,0.0185,0.1214,0.129
34.148,0.0238,0.0275,0.0924,0.099
34.152,0.0149,0.0151,0.0589,0.063
34.157,-0.0033,0.0122,0.0447,0.046
34.163,-0.0237,0.0142,-0.0099,0.029
34.167,-0.0202,-0.0194,-0.0095,0.03
34.172,0.0166,-0.048,-0.0093,0.052
34.179,0.0269,-0.036,-0.0259,0.052
34.182,0.0705,-0.0573,-0.0044,0.091
34.197,0.09,-0.0689,0.0003,0.113
34.198,0.1261,-0.0662,0.0096,0.143
34.198,0.1454,-0.0753,-0.0001,0.164
34.2,0.1552,-0.0606,0.0044,0.167
34.205,0.1653,-0.0768,-0.0031,0.182
34.21,0.1636,-0.0667,-0.0012,0.177
34.215,0.1408,-0.0922,0.0267,0.17
34.22,0.1564,-0.1151,0.0662,0.205
34.225,0.1603,-0.1283,0.0508,0.211
34.23,0.1216,-0.1223,0.0616,0.183
34.235,0.1214,-0.1092,0.0533,0.172
34.24,0.1142,-0.0986,0.0545,0.16
34.243,0.0977,-0.0952,0.0462,0.144
34.25,0.0672,-0.0466,0.0546,0.098
34.254,0.0561,-0.0222,0.039,0.072
34.259,0.0286,-0.0098,0.0257,0.04
34.264,0.0108,0.0143,-0.0516,0.055
34.269,-0.0187,0.0146,-0.1949,0.196
34.274,-0.0216,0.0267,-0.3064,0.308
34.279,-0.0031,-0.0039,-0.3438,0.344
34.282,0.0034,-0.0366,-0.3742,0.376
34.289,0.0267,-0.0405,-0.3262,0.33
34.294,0.0428,-0.0206,-0.2576,0.262
34.297,0.0473,-0.0483,-0.1353,0.151
34.303,0.0353,-0.0566,-0.0165,0.069
34.308,0.0189,-0.053,0.1059,0.12
34.313,-0.0233,-0.0684,0.2368,0.248
34.318,-0.0723,-0.0528,0.3409,0.352
34.32,-0.0997,-0.0398,0.4042,0.418
34.326,-0.1247,-0.0222,0.4533,0.471
34.331,-0.1356,-0.0215,0.4551,0.475
34.336,-0.1396,-0.0018,0.4052,0.429
34.342,-0.1128,0.0318,0.2755,0.299
34.346,-0.1148,0.0438,0.1448,0.19
34.351,-0.0931,0.0367,0.0223,0.102
34.357,-0.1024,0.0083,-0.085,0.133
34.362,-0.0857,-0.0128,-0.1609,0.183
34.368,-0.1048,-0.0384,-0.1869,0.218
34.373,-0.1168,-0.0709,-0.1658,0.215
34.375,-0.1148,-0.07,-0.1336,0.19
34.38,-0.106,-0.0667,-0.0665,0.142
34.385,-0.0855,-0.0492,0.0212,0.101
34.389,-0.0297,-0.0129,0.0655,0.073
34.393,0.0043,0.035,0.0881,0.095
34.399,0.0048,0.0492,0.1153,0.125
34.404,0.0408,0.0514,0.1735,0.186
34.408,0.0173,0.0489,0.2173,0.223
34.414,-0.0084,0.0251,0.2656,0.267
34.419,-0.0604,0.0038,0.2738,0.28
34.423,-0.1242,0.0422,0.2706,0.301
34.429,-0.1905,0.0518,0.206,0.285
34.433,-0.2495,0.09,0.1467,0.303
34.438,-0.3038,0.1353,0.0903,0.345
34.443,-0.3296,0.1685,0.0392,0.372
34.45,-0.3316,0.1801,0.0124,0.378
34.452,-0.3482,0.1821,0.0025,0.393
34.458,-0.3481,0.1912,-0.0238,0.398
34.462,-0.3076,0.2002,-0.0452,0.37
34.467,-0.2505,0.1853,-0.0569,0.317
34.473,-0.1842,0.1656,-0.066,0.256
34.478,-0.1012,0.1316,-0.0441,0.172
34.481,0.0031,0.1239,-0.0604,0.138
34.486,0.0645,0.1115,-0.0121,0.129
34.493,0.1214,0.0967,-0.0211,0.157
34.496,0.1714,0.0653,-0.0277,0.186
34.501,0.1931,0.0532,-0.0174,0.201
34.506,0.2223,0.0149,-0.0118,0.223
34.511,0.2304,-0.0042,-0.0155,0.231
34.517,0.2244,-0.0281,-0.0358,0.229
34.52,0.2401,-0.0207,-0.0417,0.245
34.525,0.2346,-0.0229,-0.0975,0.255
34.53,0.2388,-0.0538,-0.1174,0.272
34.535,0.248,-0.0654,-0.1466,0.295
34.541,0.2095,-0.0747,-0.1615,0.275
34.546,0.1759,-0.1006,-0.138,0.245
34.551,0.1208,-0.1193,-0.1075,0.201
34.556,0.0635,-0.1189,-0.0842,0.159
34.559,-0.0104,-0.1136,-0.0465,0.123
34.567,-0.0628,-0.0989,-0.0351,0.122
34.569,-0.1034,-0.0388,-0.0426,0.118
34.575,-0.1324,0.0212,-0.0548,0.145
34.578,-0.1092,0.069,-0.0523,0.139
34.584,-0.0936,0.1047,-0.0688,0.156
34.59,-0.0782,0.126,-0.0757,0.166
34.596,-0.065,0.1306,-0.0753,0.164
34.599,-0.0898,0.14,-0.0797,0.184
34.605,-0.1262,0.159,-0.0959,0.225
34.608,-0.1742,0.159,-0.0928,0.253
34.613,-0.2219,0.147,-0.0967,0.283
