time,ax,ay,az,aT
1.052,-1.0658,0.4363,0.5133,1.261
1.057,-1.0976,0.474,0.7741,1.424
1.062,-1.0053,0.4724,0.9305,1.449
1.068,-0.8483,0.4767,0.8923,1.32
1.071,-0.6496,0.3742,0.7603,1.068
1.076,-0.3935,0.2151,0.6257,0.77
1.081,-0.1628,0.0567,0.5149,0.543
1.086,-0.0167,-0.0509,0.4375,0.441
1.09,0.1076,-0.1199,0.3769,0.41
1.095,0.165,-0.1121,0.3187,0.376
1.101,0.1636,-0.0564,0.2751,0.325
1.105,0.0989,0.0472,0.2699,0.291
1.11,0.0283,0.1482,0.3198,0.354
1.114,-0.0509,0.2251,0.4295,0.488
1.12,-0.1149,0.2875,0.5464,0.628
1.124,-0.1688,0.4066,0.6466,0.782
1.129,-0.2102,0.489,0.79,0.953
1.135,-0.1558,0.5297,0.9455,1.095
1.139,-0.0416,0.5262,1.1227,1.241
1.144,0.0536,0.557,1.1855,1.311
1.148,0.5105,0.5718,1.2895,1.5
1.154,0.5041,0.592,1.2004,1.43
1.159,0.3519,0.5482,0.9786,1.176
1.163,0.3846,0.4933,0.8152,1.028
1.168,0.5018,0.4156,0.6576,0.926
1.173,0.601,0.3056,0.4915,0.834
1.178,0.2977,0.3261,0.3527,0.565
1.183,1.3412,-0.1298,0.5708,1.463
1.189,0.5373,0.0211,0.309,0.62
1.192,0.4452,-0.0388,0.5426,0.703
1.197,0.4704,-0.0463,0.3582,0.593
1.202,0.432,-0.0485,0.2197,0.487
1.207,0.4373,-0.0761,0.311,0.542
1.211,0.5032,-0.1338,0.5669,0.77
1.217,0.4797,-0.1452,0.8125,0.955
1.222,0.4322,-0.1967,0.9548,1.066
1.226,0.3534,-0.3314,1.0796,1.183
1.231,0.1927,-0.3437,1.1872,1.251
1.236,0.0219,-0.339,1.2248,1.271
1.241,-0.1378,-0.2935,1.2403,1.282
1.246,-0.2772,-0.2649,1.2483,1.306
1.252,-0.3754,-0.2317,1.258,1.333
1.256,-0.4281,-0.1989,1.1884,1.279
1.26,-0.4326,-0.2,1.0969,1.196
1.265,-0.4457,-0.1563,0.9478,1.059
1.27,-0.4331,-0.1538,0.8227,0.942
1.275,-0.4489,-0.1233,0.7095,0.849
1.28,-0.4833,-0.1152,0.6205,0.795
1.285,-0.4879,-0.1727,0.5343,0.744
1.29,-0.5756,-0.8408,1.3062,1.657
1.295,-0.524,-0.7767,1.0045,1.374
1.3,-0.3307,-0.6121,0.7611,1.031
1.304,-0.156,-0.3827,0.5093,0.656
1.309,-0.0058,-0.1262,0.3376,0.36
1.315,0.0893,0.0905,0.1978,0.235
1.319,0.0581,0.2727,0.0972,0.295
1.323,-0.0033,0.4178,0.0333,0.419
1.329,-0.0778,0.5139,-0.0583,0.523
1.334,-0.2395,0.5827,-0.18,0.655
1.338,-0.4044,0.6147,-0.3033,0.796
1.343,-0.5963,0.6266,-0.392,0.95
1.347,-0.686,0.6186,-0.4774,1.04
1.353,-0.7193,0.5598,-0.5404,1.06
1.359,-0.754,0.5363,-0.6719,1.144
1.362,-0.8163,0.4667,-0.9411,1.33
1.369,-0.8142,0.4159,-1.2974,1.587
1.372,-0.7895,0.3819,-1.6165,1.839
1.377,-0.7566,0.3871,-1.8366,2.024
1.382,-0.6696,0.3793,-1.977,2.122
1.387,-0.62,0.4073,-2.0502,2.18
1.391,-0.5834,0.3975,-2.0299,2.149
1.396,-0.5786,0.3453,-1.8948,2.011
1.413,-0.5424,0.3031,-1.5853,1.703
1.413,-0.5954,0.3422,-1.0084,1.22
1.414,-0.6282,0.1844,-0.702,0.96
1.422,-0.5162,-0.2898,-0.4297,0.732
1.422,-0.2418,-0.7691,-0.1822,0.827
1.426,-0.0572,-1.1464,-0.0378,1.148
1.43,-0.0571,-1.3626,0.0683,1.365
1.44,-0.1864,-1.5999,0.0338,1.611
1.441,-0.1664,-1.9068,-0.0219,1.914
1.445,-0.1005,-2.0964,-0.1036,2.101
1.45,0.1802,-2.3382,-0.3647,2.373
1.456,0.4787,-2.3513,-0.5112,2.453
1.459,0.7153,-2.257,-0.438,2.408
1.464,1.2961,-2.975,-0.3369,3.262
1.472,1.5787,-2.7564,-0.134,3.179
1.474,1.4887,-1.7887,0.2564,2.341
1.479,1.0915,-0.9871,0.631,1.601
1.484,0.469,-0.6589,0.8011,1.138
1.488,-0.1554,-0.7422,0.8032,1.105
1.493,-0.4482,-1.1294,0.7028,1.404
1.498,-0.4107,-1.54,0.6864,1.735
1.503,-0.1777,-1.8699,0.9326,2.097
1.508,0.0643,-2.0564,1.5261,2.562
1.512,0.1695,-2.1617,2.209,3.095
1.519,0.1128,-2.1986,2.5478,3.367
1.522,-0.0378,-2.1992,2.5116,3.339
1.527,-0.0682,-2.0376,2.2497,3.036
